symbol,close,avg_vol_30d,sessions,kind,dollar_vol
AIMD,1.600000023841858,151786.66666666666,30,stock,242858.6702855428
AIN,62.43000030517578,314690.0,30,stock,19646096.796035767
AIO,25.959999084472656,72226.66666666667,30,stock,1875004.2005411785
AIOS,12.1899995803833,56556.666666666664,30,stock,689425.7429345448
AIOT,3.0199999809265137,2107113.3333333335,30,stock,6363482.22647667
AIP,21.3700008392334,709463.3333333334,30,stock,15161232.028738659
AIR,126.54000091552734,361906.6666666667,30,stock,45795669.93133545
AIRE,1.5,178290.0,30,stock,267435.0
AIRG,5.25,69120.0,30,stock,362880.0
AIRI,2.609999895095825,23773.333333333332,30,stock,62048.39750607808
AIRJ,4.570000171661377,1602696.6666666667,30,stock,7324324.041787784
AIRO,7.400000095367432,507003.3333333333,30,stock,3751824.7150182724
AIRS,2.7950000762939453,909126.6666666666,30,stock,2541009.1026941934
AIRT,31.75,16473.333333333332,30,stock,523028.3333333333
AISP,2.049999952316284,336140.0,30,stock,689086.9839715958
AIT,325.57000732421875,267970.0,30,stock,87242994.8626709
AIV,2.559999942779541,1002140.0,30,stock,2565478.3426570892
AIXC,0.7089999914169312,2563160.0,30,stock,1817280.4180002213
AIZ,285.739990234375,370256.6666666667,30,stock,105797136.31754558
AJG,262.69000244140625,1382503.3333333333,30,stock,363169804.0085856
AKA,10.960000038146973,3956.6666666666665,30,stock,43365.06681760152
AKAM,105.22000122070312,3284956.6666666665,30,stock,345643144.47662354
AKAN,3.3499999046325684,1822263.3333333333,30,stock,6104581.9928820925
AKBA,0.9750000238418579,7371530.0,30,stock,7187241.925750971
AKO-A,23.399999618530273,850.0,30,stock,19889.999675750732
AKO-B,29.280000686645508,10636.666666666666,30,stock,311441.6073036194
AKR,20.290000915527344,1462116.6666666667,30,stock,29666348.505274456
AKTS,27.049999237060547,268013.3333333333,30,stock,7249760.46218872
AKTX,11.470000267028809,63843.333333333336,30,stock,732283.0503813426
ALAB,310.3999938964844,4188966.6666666665,30,stock,1300255227.7659097
ALB,126.27999877929688,2245240.0,30,stock,283528904.4592285
ALC,70.5,1802300.0,30,stock,127062150.0
ALCO,40.43000030517578,20096.666666666668,30,stock,812508.2394663494
ALDF,10.805000305175781,41606.666666666664,30,stock,449560.0460306803
ALDX,1.4800000190734863,737623.3333333334,30,stock,1091682.547402382
ALEC,2.4600000381469727,1316443.3333333333,30,stock,3238450.6502183275
ALF,10.890000343322754,650.0,30,stock,7078.50022315979
ALG,173.55999755859375,151516.66666666666,30,stock,26297232.29675293
ALGM,36.61000061035156,2258756.6666666665,30,stock,82693082.94530232
ALGN,158.63999938964844,916060.0,30,stock,145323757.84088135
ALGS,6.210000038146973,120120.0,30,stock,745945.2045822144
ALGT,78.16000366210938,529123.3333333334,30,stock,41356281.671040855
ALH,22.729999542236328,1551826.6666666667,30,stock,35273019.42296346
ALHC,13.539999961853027,5371320.0,30,stock,72727672.5951004
ALIS,10.300000190734863,35400.0,30,stock,364620.00675201416
ALIT,14.920000076293945,534910.0,30,stock,7980857.240810394
ALK,42.040000915527344,2342700.0,30,stock,98487110.14480591
ALKS,46.099998474121094,1530283.3333333333,30,stock,70546059.3316396
ALKT,19.690000534057617,1268503.3333333333,30,stock,24976831.3107872
ALL,259.57000732421875,1630366.6666666667,30,stock,423194287.6078288
ALLE,157.1199951171875,1347316.6666666667,30,stock,211690388.08797202
ALLO,1.9700000286102295,5576836.666666667,30,stock,10986368.39288791
ALLR,1.4199999570846558,76106.66666666667,30,stock,108071.46340052287
ALLT,7.639999866485596,240393.33333333334,30,stock,1836605.034570694
ALLY,43.72999954223633,2816320.0,30,stock,123157672.31079102
ALM,17.56999969482422,7046170.0,30,stock,123801204.74967957
ALMR,30.799999237060547,311226.6666666667,30,stock,9585781.09588623
ALMS,11.100000381469727,2413236.6666666665,30,stock,26786927.92057673
ALMU,12.9399995803833,484030.0,30,stock,6263347.996892929
ALNT,94.62000274658203,260476.66666666666,30,stock,24646302.915420532
ALNY,266.1099853515625,2191266.6666666665,30,stock,583117940.5680338
ALOV,9.979999542236328,49173.333333333336,30,stock,490749.84415690106
ALOY,10.100000381469727,2875160.0,30,stock,29039117.0967865
ALP,0.0989999994635582,7350593.333333333,30,stock,727708.7360568345
ALPS,0.3799999952316284,65376.666666666664,30,stock,24843.133021593094
ALPX,9.949999809265137,62423.333333333336,30,stock,621112.1547603607
ALRM,56.47999954223633,380220.0,30,stock,21474825.425949097
ALRS,33.790000915527344,177363.33333333334,30,stock,5993107.195714315
ALSN,131.24000549316406,824890.0,30,stock,108258568.1312561
ALT,3.4200000762939453,4969743.333333333,30,stock,16996522.579161324
ALTG,6.099999904632568,177186.66666666666,30,stock,1080838.6497688293
ALTI,3.0,222406.66666666666,30,stock,667220.0
ALTO,4.039999961853027,1882283.3333333333,30,stock,7604424.5948632555
ALUB,10.114999771118164,55126.666666666664,30,stock,557606.2207158406
ALV,125.19999694824219,540793.3333333334,30,stock,67707323.68296306
ALVO,5.320000171661377,1029090.0,30,stock,5474758.976655006
ALX,262.4200134277344,35870.0,30,stock,9413005.881652832
ALXO,2.009999990463257,923520.0,30,stock,1856275.191192627
ALZN,1.659999966621399,87096.66666666667,30,stock,144580.46375950178
AM,22.600000381469727,2397020.0,30,stock,54172652.914390564
AMAL,49.16999816894531,161266.66666666666,30,stock,7929481.704711913
AMAN,10.729999542236328,40210.0,30,stock,431453.28159332275
AMAT,454.7099914550781,7483446.666666667,30,stock,3402797969.854533
AMBA,62.88999938964844,1700826.6666666667,30,stock,106964988.02856445
AMBO,1.9900000095367432,20266.666666666668,30,stock,40330.666859944664
AMBP,5.010000228881836,2384543.3333333335,30,stock,11946562.645778656
AMBQ,57.45000076293945,484080.0,30,stock,27810396.36932373
AMC,2.6500000953674316,26156370.0,30,stock,69314382.99446583
AMCI,3.9000000953674316,133383.33333333334,30,stock,520195.01272042596
AMCR,45.150001525878906,3811130.0,30,stock,172072525.31532288
AMCX,12.479999542236328,718800.0,30,stock,8970623.670959473
AMD,477.57000732421875,22928456.666666668,30,stock,10949943218.233032
AME,237.72000122070312,1364180.0,30,stock,324292871.2652588
AMG,370.2200012207031,263520.0,30,stock,97560374.72167969
AMGN,437.2300109863281,2542273.3333333335,30,stock,1111558197.4635825
AMH,32.470001220703125,2052706.6666666667,30,stock,66651387.97241211
AMIX,4.590000152587891,9027776.666666666,30,stock,41437496.277529396
AMKR,47.77000045776367,5525826.666666667,30,stock,263968742.3961894
AMLX,34.099998474121094,3341453.3333333335,30,stock,113943553.56801352
AMN,33.79999923706055,686376.6666666666,30,stock,23199530.809669495
AMOD,2.1700000762939453,203303.33333333334,30,stock,441168.2488441467
AMP,560.5599975585938,418000.0,30,stock,234314078.9794922
AMPG,3.369999885559082,2251656.6666666665,30,stock,7588082.70898501
AMPH,23.18000030517578,434506.6666666667,30,stock,10071864.665934246
AMPL,13.020000457763672,2084750.0,30,stock,27143445.954322815
AMPX,9.890000343322754,5577290.0,30,stock,55159400.01481056
AMPY,4.900000095367432,834476.6666666666,30,stock,4088935.746248563
AMR,225.41000366210938,362956.6666666667,30,stock,81814063.56252035
AMRC,23.149999618530273,796096.6666666666,30,stock,18429637.529646553
AMRN,13.630000114440918,73240.0,30,stock,998261.2083816528
AMRX,17.440000534057617,1774136.6666666667,30,stock,30940944.414157867
AMRZ,43.81999969482422,3891556.6666666665,30,stock,170528011.9457245
AMS,1.4299999475479126,15640.0,30,stock,22365.199179649353
AMSC,29.549999237060547,723096.6666666666,30,stock,21367505.948321022
AMSF,25.989999771118164,387720.0,30,stock,10076842.711257935
AMSS,0.800000011920929,312683.3333333333,30,stock,250146.67039414245
AMST,1.0700000524520874,105406.66666666667,30,stock,112785.13886213303
AMT,175.85000610351562,2502656.6666666665,30,stock,440092190.1083374
AMTB,29.68000030517578,377376.6666666667,30,stock,11200539.581832886
AMTM,20.059999465942383,2265400.0,30,stock,45443922.790145874
AMTX,1.8300000429153442,800220.0,30,stock,1464402.6343417168
AMWL,12.989999771118164,109953.33333333333,30,stock,1428293.7748336792
AMZE,0.17399999499320984,8262040.0,30,stock,1437594.9186336994
AMZN,258.510009765625,42651336.666666664,30,stock,11025797458.216959
AN,212.36000061035156,422556.6666666667,30,stock,89734133.99124146
ANAB,56.79999923706055,438093.3333333333,30,stock,24883700.999094643
ANDE,69.30999755859375,382000.0,30,stock,26476419.067382812
ANDG,56.2599983215332,533143.3333333334,30,stock,29994643.03846995
ANET,193.77999877929688,7011026.666666667,30,stock,1358596738.9082847
ANF,149.6699981689453,1887616.6666666667,30,stock,282519583.04367065
ANGH,3.5199999809265137,41506.666666666664,30,stock,146103.4658749898
ANGI,4.900000095367432,852640.0,30,stock,4177936.081314087
ANGO,15.199999809265137,404470.0,30,stock,6147943.92285347
ANGX,4.579999923706055,1394760.0,30,stock,6388000.693588257
ANIK,20.809999465942383,125250.0,30,stock,2606452.4331092834
ANIP,71.2300033569336,382660.0,30,stock,27256873.08456421
ANIX,3.069999933242798,250886.66666666666,30,stock,770222.0499181747
ANNA,3.0,215930.0,30,stock,647790.0
ANNX,4.869999885559082,2435706.6666666665,30,stock,11861891.18792216
ANPA,3.9700000286102295,189640.0,30,stock,752870.8054256439
ANRO,35.54999923706055,441813.3333333333,30,stock,15706463.662923176
ANTA,3.759999990463257,5640.0,30,stock,21206.39994621277
ANTX,5.889999866485596,214966.66666666666,30,stock,1266153.6379655201
ANVS,1.3899999856948853,808023.3333333334,30,stock,1123152.421774467
ANY,2.319999933242798,487950.0,30,stock,1132043.9674258232
AOD,10.710000038146973,431490.0,30,stock,4621257.916460037
AOMR,8.3100004196167,131840.0,30,stock,1095590.4553222656
AON,323.0899963378906,1230386.6666666667,30,stock,397525623.6275228
AORT,25.56999969482422,698946.6666666666,30,stock,17872066.05336507
AOS,60.47999954223633,1499730.0,30,stock,90703669.71347809
AOSL,25.200000762939453,591036.6666666666,30,stock,14894124.45092519
AOUT,14.479999542236328,201183.33333333334,30,stock,2913134.5745722456
AP,8.680000305175781,94646.66666666667,30,stock,821533.0955505371
APA,42.77000045776367,5527896.666666667,30,stock,236428142.96380362
APAC,10.260000228881836,12770.0,30,stock,131020.20292282104
APAM,41.56999969482422,851553.3333333334,30,stock,35399071.80679321
APC,18.989999771118164,162683.33333333334,30,stock,3089356.46276474
APD,301.2699890136719,1010153.3333333334,30,stock,304328883.6354574
APEI,45.36000061035156,300990.0,30,stock,13652906.583709717
APG,40.040000915527344,2780190.0,30,stock,111318810.14533997
APH,82.77999877929688,12825043.333333334,30,stock,1061657071.4777629
APLD,26.3700008392334,17882880.0,30,stock,471571560.60791016
APLE,15.600000381469727,2803756.6666666665,30,stock,43738605.06954829
APLM,27.4950008392334,22183.333333333332,30,stock,609930.7686169941
APMC,9.970000267028809,52603.333333333336,30,stock,524455.2473799388
APMD,27.450000762939453,496515.3846153846,26,stock,13629347.686503485
APO,133.6699981689453,3325016.6666666665,30,stock,444454971.74504596
APOG,39.970001220703125,178433.33333333334,30,stock,7131980.551147461
APP,320.55999755859375,6356243.333333333,30,stock,2037557347.4151611
APPF,214.27999877929688,404486.6666666667,30,stock,86673402.4395752
APPN,38.369998931884766,867900.0,30,stock,33301322.072982788
APPS,10.710000038146973,3678600.0,30,stock,39397806.14032745
APRE,0.7940000295639038,385076.6666666667,30,stock,305750.88471770287
APT,5.360000133514404,37303.333333333336,30,stock,199945.871647199
APTV,47.95000076293945,4963013.333333333,30,stock,237976493.119812
APUR,10.010000228881836,43583.333333333336,30,stock,436269.17664210004
APUS,2.4200000762939453,134556.66666666666,30,stock,325627.14359919226
APVO,1.7400000095367432,137736.66666666666,30,stock,239661.8013135592
APWC,1.3700000047683716,10483.333333333334,30,stock,14362.166716655096
APXT,10.130000114440918,201850.0,30,stock,2044740.5230998993
